character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
清,0,0,2,6,16,9,0,0,0,3,1,0,33,4,2.2
孟,0,2,12,10,6,0,0,0,1,5,1,0,30,7,1.14
浩,0,3,9,17,5,1,0,0,0,1,1,0,35,2,4.67
啟,0,1,5,13,13,3,0,0,0,0,0,1,35,1,9.33
緯,0,3,10,15,6,0,0,0,0,1,0,0,34,1,9.07
仲,0,2,7,14,9,2,0,0,1,0,0,0,34,1,9.07
麗,0,0,0,0,0,0,0,0,2,10,22,1,0,35,0.001
萍,0,0,0,0,1,1,0,0,4,17,11,1,2,33,0.02
庭,0,3,10,10,1,0,0,1,5,5,0,0,24,11,0.58
韋,0,4,14,14,2,0,0,0,0,1,0,0,34,1,9.07
佑,2,4,12,9,6,0,0,0,0,1,1,0,33,2,4.4
昇,0,0,9,14,8,3,0,0,0,0,0,0,34,0,1000.0
恩,0,4,8,9,1,1,0,1,4,5,1,0,23,11,0.56
書,0,3,5,12,9,0,0,0,1,3,1,0,29,5,1.55
雄,0,0,3,12,13,6,0,0,0,0,0,0,34,0,1000.0
東,1,0,2,15,15,0,0,0,1,0,0,0,33,1,8.8
博,1,5,8,12,6,1,0,0,1,0,0,0,33,1,8.8
民,0,1,9,10,8,3,0,0,0,2,0,0,31,2,4.13
倫,0,3,5,14,6,0,0,0,3,0,2,0,28,5,1.49
勳,0,3,14,6,6,3,0,0,0,0,1,0,32,1,8.53
毅,0,4,14,8,5,1,0,0,0,0,0,0,32,0,1000.0
誠,0,1,8,12,10,1,0,0,0,0,0,0,32,0,1000.0
景,0,3,8,9,8,2,0,1,0,1,0,0,30,2,4.0
漢,0,0,9,14,4,3,0,0,0,1,0,0,30,1,8.0
佩,0,0,0,0,0,0,0,0,6,20,5,0,0,31,0.001
堯,0,2,6,12,11,0,0,0,0,0,0,0,31,0,1000.0
瑜,0,1,1,4,2,0,0,1,6,15,1,0,8,23,0.09
峰,0,1,10,13,5,1,0,0,0,0,0,0,30,0,1000.0
隆,0,0,3,18,6,3,0,0,0,0,0,0,30,0,1000.0
平,0,1,5,9,7,4,0,0,0,1,2,0,26,3,2.31
琪,0,1,3,3,2,0,0,1,4,11,4,0,9,20,0.12
奕,0,1,5,14,3,1,0,1,0,3,1,0,24,5,1.28
曉,0,0,1,1,1,1,0,0,4,13,8,0,4,25,0.04
芬,0,0,0,0,0,0,0,0,1,16,11,1,0,29,0.001
秉,0,5,11,8,4,0,0,0,0,0,0,0,28,0,1000.0
涵,0,0,5,2,0,0,0,2,12,7,0,0,7,21,0.09
儀,0,1,1,3,2,3,0,2,3,9,4,0,10,18,0.15
坤,0,0,4,12,8,4,0,0,0,0,0,0,28,0,1000.0
弘,0,0,11,11,5,1,0,0,0,0,0,0,28,0,1000.0
憲,0,3,5,12,6,1,0,0,0,0,0,0,27,0,1000.0
辰,0,3,14,6,3,1,0,0,0,0,0,0,27,0,1000.0
源,0,0,5,9,8,5,0,0,0,0,0,0,27,0,1000.0
強,0,3,3,7,11,2,0,0,0,0,0,0,26,0,1000.0
福,0,1,3,6,8,7,0,0,0,0,1,0,25,1,6.67
雯,0,0,0,0,0,0,0,1,2,16,6,1,0,26,0.001
進,0,0,2,10,10,4,0,0,0,0,0,0,26,0,1000.0
秋,0,0,1,2,6,2,0,0,1,7,7,0,11,15,0.2
思,0,3,3,5,1,0,0,0,3,10,0,1,12,14,0.23
遠,0,4,6,11,5,0,0,0,0,0,0,0,26,0,1000.0
揚,0,2,10,8,4,0,0,1,1,0,0,0,24,2,3.2
珊,0,0,0,0,0,1,0,1,3,17,3,0,1,24,0.01
秀,0,0,0,1,1,0,0,0,0,14,7,2,2,23,0.02
麟,0,0,5,6,11,1,0,0,0,1,0,0,23,1,6.13
興,0,0,3,6,11,3,0,0,0,0,1,0,23,1,6.13
金,0,0,3,6,4,5,0,0,1,1,4,0,18,6,0.8
娟,0,0,0,0,0,0,0,0,0,14,7,3,0,24,0.001
青,0,0,1,3,8,1,0,0,2,5,4,0,13,11,0.32
修,0,2,7,13,1,0,0,0,0,1,0,0,23,1,6.13
程,0,1,6,14,2,0,0,0,1,0,0,0,23,1,6.13
義,0,1,5,4,11,2,0,0,0,0,0,0,23,0,1000.0
生,0,1,4,8,8,2,0,0,0,0,0,0,23,0,1000.0
雲,0,0,0,2,3,1,0,0,2,3,11,1,6,17,0.09
聰,0,1,3,8,9,2,0,0,0,0,0,0,23,0,1000.0
全,0,0,6,10,6,0,0,0,0,0,0,0,22,0,1000.0
皓,0,6,9,6,0,0,0,1,0,0,0,0,21,1,5.6
豐,0,1,3,7,8,3,0,0,0,0,0,0,22,0,1000.0
