character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
航,0,0,1,5,1,0,0,0,0,0,0,0,7,0,1000.0
浚,0,0,2,2,3,0,0,0,0,0,0,0,7,0,1000.0
霞,0,0,0,0,0,1,0,0,1,2,3,0,1,6,0.04
琮,0,2,1,3,1,0,0,0,0,0,0,0,7,0,1000.0
唐,0,0,4,2,1,0,0,0,0,0,0,0,7,0,1000.0
照,0,1,1,3,1,1,0,0,0,0,0,0,7,0,1000.0
肇,0,0,3,1,2,1,0,0,0,0,0,0,7,0,1000.0
羿,0,0,2,2,0,0,0,0,1,2,0,0,4,3,0.36
小,0,0,0,1,0,0,0,0,1,2,3,0,1,6,0.04
汶,0,0,1,1,0,0,0,0,1,4,0,0,2,5,0.11
洋,0,1,1,4,0,0,0,0,1,0,0,0,6,1,1.6
翠,0,0,0,0,0,0,0,1,0,5,1,0,0,7,0.001
評,0,0,1,2,4,0,0,0,0,0,0,0,7,0,1000.0
蕙,0,0,0,0,0,0,0,0,1,3,3,0,0,7,0.001
鐘,0,0,0,4,2,1,0,0,0,0,0,0,7,0,1000.0
寬,0,1,2,3,1,0,0,0,0,0,0,0,7,0,1000.0
財,0,1,0,2,1,3,0,0,0,0,0,0,7,0,1000.0
逢,0,0,1,4,0,0,0,0,0,1,1,0,5,2,0.67
梓,0,1,2,2,0,0,0,0,1,1,0,0,5,2,0.67
煜,0,1,2,3,1,0,0,0,0,0,0,0,7,0,1000.0
旺,0,0,0,3,2,2,0,0,0,0,0,0,7,0,1000.0
意,0,0,0,3,2,0,0,0,1,1,0,0,5,2,0.67
愷,0,2,3,1,1,0,0,0,0,0,0,0,7,0,1000.0
千,0,0,1,1,0,1,0,0,1,3,0,0,3,4,0.2
熙,0,0,2,2,3,0,0,0,0,0,0,0,7,0,1000.0
懷,0,0,2,3,2,0,0,0,0,0,0,0,7,0,1000.0
顯,0,0,1,6,0,0,0,0,0,0,0,0,7,0,1000.0
乃,0,0,1,0,2,0,0,0,2,1,1,0,3,4,0.2
伶,0,0,0,0,0,0,0,1,1,5,0,0,0,7,0.001
利,0,0,0,3,1,1,0,0,0,1,1,0,5,2,0.67
以,0,0,1,1,2,0,0,1,0,1,1,0,4,3,0.36
筑,0,1,0,0,0,0,0,0,3,1,2,0,1,6,0.04
亦,0,0,0,5,0,0,0,0,0,2,0,0,5,2,0.67
妙,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0.001
亭,0,0,0,2,0,0,0,0,2,3,0,0,2,5,0.11
康,0,0,2,3,2,0,0,0,0,0,0,0,7,0,1000.0
季,0,1,2,4,0,0,0,0,0,0,0,0,7,0,1000.0
孝,0,1,0,3,3,0,0,0,0,0,0,0,7,0,1000.0
芊,0,0,0,0,0,0,0,1,4,1,1,0,0,7,0.001
力,0,0,0,3,2,1,0,0,0,1,0,0,6,1,1.6
吟,0,0,0,0,0,0,0,0,1,5,1,0,0,7,0.001
喬,0,1,1,1,1,0,0,0,1,2,0,0,4,3,0.36
伸,0,2,1,3,1,0,0,0,0,0,0,0,7,0,1000.0
俞,0,1,1,2,1,0,0,0,1,1,0,0,5,2,0.67
延,0,0,2,3,2,0,0,0,0,0,0,0,7,0,1000.0
谷,0,0,1,2,2,0,0,1,0,0,0,0,5,1,1.33
臻,0,1,0,1,1,0,0,1,1,1,0,0,3,3,0.27
璟,0,0,2,3,0,0,0,0,0,1,0,0,5,1,1.33
鎧,0,0,2,3,0,0,0,0,0,1,0,0,5,1,1.33
潤,0,1,1,1,1,2,0,0,0,0,0,0,6,0,1000.0
萬,0,0,0,2,2,2,0,0,0,0,0,0,6,0,1000.0
雨,0,1,1,2,0,1,0,0,0,1,0,0,5,1,1.33
上,0,0,2,3,1,0,0,0,0,0,0,0,6,0,1000.0
紀,0,0,0,1,1,1,0,1,0,2,0,0,3,3,0.27
姿,0,0,0,0,0,0,0,0,2,4,0,0,0,6,0.001
泉,0,1,0,3,2,0,0,0,0,0,0,0,6,0,1000.0
頤,0,1,1,2,0,0,0,1,0,1,0,0,4,2,0.53
定,0,0,0,5,1,0,0,0,0,0,0,0,6,0,1000.0
筱,0,0,1,0,0,0,0,1,1,2,1,0,1,5,0.05
屏,0,0,0,2,0,0,0,0,2,1,1,0,2,4,0.13
姵,0,0,0,0,0,0,0,0,2,3,0,1,0,6,0.001
桓,0,0,3,2,1,0,0,0,0,0,0,0,6,0,1000.0
嵐,0,1,2,1,1,0,0,0,0,0,1,0,5,1,1.33
淯,1,1,3,0,0,0,0,0,0,1,0,0,5,1,1.33
善,0,1,2,2,0,0,0,0,0,1,0,0,5,1,1.33
方,0,0,0,1,2,0,0,1,1,0,1,0,3,3,0.27
聲,0,1,0,3,2,0,0,0,0,0,0,0,6,0,1000.0
玟,0,0,1,1,0,0,0,0,1,3,0,0,2,4,0.13
玫,0,0,0,0,0,0,0,0,1,2,3,0,0,6,0.001
年,0,1,1,1,2,0,0,0,0,1,0,0,5,1,1.33
芸,0,0,0,0,0,0,0,0,1,5,0,0,0,6,0.001
先,0,0,2,2,1,0,0,0,0,1,0,0,5,1,1.33
權,0,0,2,2,1,1,0,0,0,0,0,0,6,0,1000.0
州,0,0,1,1,4,0,0,0,0,0,0,0,6,0,1000.0
洲,0,0,1,2,3,0,0,0,0,0,0,0,6,0,1000.0
衡,0,1,3,2,0,0,0,0,0,0,0,0,6,0,1000.0
獻,0,1,0,3,2,0,0,0,0,0,0,0,6,0,1000.0
樂,0,0,3,2,1,0,0,0,0,0,0,0,6,0,1000.0
俐,0,0,0,0,0,0,0,1,1,4,0,0,0,6,0.001
衍,0,0,1,3,1,1,0,0,0,0,0,0,6,0,1000.0
洪,0,0,1,1,3,0,0,0,0,1,0,0,5,1,1.33
又,0,2,1,2,0,1,0,0,0,0,0,0,6,0,1000.0
予,0,0,2,1,0,0,0,1,2,0,0,0,3,3,0.27
卉,0,0,0,0,0,0,0,1,2,2,1,0,0,6,0.001
鎮,0,0,1,3,2,0,0,0,0,0,0,0,6,0,1000.0
通,0,0,0,2,0,3,0,0,0,0,0,0,5,0,1000.0
聯,0,0,1,2,1,1,0,0,0,0,0,0,5,0,1000.0
煥,0,1,2,1,1,0,0,0,0,0,0,0,5,0,1000.0
友,0,1,0,2,1,1,0,0,0,0,0,0,5,0,1000.0
紳,0,0,0,3,1,1,0,0,0,0,0,0,5,0,1000.0
香,0,0,0,1,0,0,0,0,0,2,2,0,1,4,0.07
筠,0,0,1,0,0,0,0,0,0,3,1,0,1,4,0.07
泳,0,0,1,2,2,0,0,0,0,0,0,0,5,0,1000.0
湘,0,0,0,0,1,0,0,0,1,2,1,0,1,4,0.07
連,0,0,1,3,1,0,0,0,0,0,0,0,5,0,1000.0
勛,0,0,2,1,2,0,0,0,0,0,0,0,5,0,1000.0
璧,0,0,0,3,0,0,0,0,0,1,0,1,3,2,0.4
本,0,0,2,2,1,0,0,0,0,0,0,0,5,0,1000.0
介,0,0,2,1,1,1,0,0,0,0,0,0,5,0,1000.0
道,0,0,0,2,2,1,0,0,0,0,0,0,5,0,1000.0
斯,0,0,0,1,1,1,0,0,0,0,2,0,3,2,0.4
瑾,0,0,1,0,0,0,0,0,2,2,0,0,1,4,0.07
云,0,1,0,0,0,0,0,1,1,0,2,0,1,4,0.07
伊,0,0,0,1,0,0,0,0,1,3,0,0,1,4,0.07
侑,0,1,1,2,0,0,0,0,0,0,1,0,4,1,1.07
苡,0,1,0,0,0,0,0,0,1,3,0,0,1,4,0.07
璿,0,0,1,1,2,0,0,0,1,0,0,0,4,1,1.07
田,0,0,0,1,2,2,0,0,0,0,0,0,5,0,1000.0
琇,0,0,0,0,0,0,0,1,1,3,0,0,0,5,0.001
自,0,0,1,1,1,1,0,0,0,0,1,0,4,1,1.07
霜,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0.001
可,0,0,2,0,1,0,0,0,2,0,0,0,3,2,0.4
烈,0,0,0,4,0,1,0,0,0,0,0,0,5,0,1000.0
澔,0,1,2,2,0,0,0,0,0,0,0,0,5,0,1000.0
耿,0,0,2,1,2,0,0,0,0,0,0,0,5,0,1000.0
穗,0,0,1,0,0,0,0,0,0,2,2,0,1,4,0.07
釗,0,0,1,2,1,0,0,0,0,0,1,0,4,1,1.07
葳,0,0,1,0,0,0,0,1,0,3,0,0,1,4,0.07
菱,0,0,0,0,0,0,0,0,3,2,0,0,0,5,0.001
允,0,1,2,1,0,0,0,0,1,0,0,0,4,1,1.07
薇,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0.001
甄,0,0,0,0,0,0,0,0,1,4,0,0,0,5,0.001
榕,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0.4
韻,0,0,0,1,0,0,0,1,1,0,2,0,1,4,0.07
灝,0,1,3,1,0,0,0,0,0,0,0,0,5,0,1000.0
婕,0,0,0,0,0,0,0,0,3,2,0,0,0,5,0.001
妮,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0.001
葦,0,1,0,3,0,0,0,0,0,1,0,0,4,1,1.07
唯,0,1,2,0,0,0,0,0,0,2,0,0,3,2,0.4
期,0,0,2,1,1,0,0,0,0,1,0,0,4,1,1.07
廸,0,0,1,2,1,0,0,0,0,1,0,0,4,1,1.07
懋,0,0,1,4,0,0,0,0,0,0,0,0,5,0,1000.0
郎,0,0,0,2,2,1,0,0,0,0,0,0,5,0,1000.0
能,0,0,1,2,2,0,0,0,0,0,0,0,5,0,1000.0
見,0,0,0,3,1,1,0,0,0,0,0,0,5,0,1000.0
蓮,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0.001
芝,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0.001
運,0,0,0,2,1,1,0,0,0,0,0,0,4,0,1000.0
希,0,0,1,2,0,0,0,0,1,0,0,0,3,1,0.8
勲,0,0,1,3,0,0,0,0,0,0,0,0,4,0,1000.0
念,0,1,0,0,1,0,0,0,1,1,0,0,2,2,0.27
詮,0,2,0,2,0,0,0,0,0,0,0,0,4,0,1000.0
焜,0,0,1,1,2,0,0,0,0,0,0,0,4,0,1000.0
彤,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0.001
飛,0,1,2,0,1,0,0,0,0,0,0,0,4,0,1000.0
百,0,0,0,1,1,2,0,0,0,0,0,0,4,0,1000.0
紫,0,0,0,0,0,1,0,0,2,0,1,0,1,3,0.09
劍,0,0,1,0,2,0,0,0,0,1,0,0,3,1,0.8
琴,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0.001
才,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1000.0
炎,0,0,0,0,2,1,0,0,0,0,1,0,3,1,0.8
禹,0,0,3,1,0,0,0,0,0,0,0,0,4,0,1000.0
晴,0,0,0,1,0,0,0,1,0,2,0,0,1,3,0.09
典,0,0,3,1,0,0,0,0,0,0,0,0,4,0,1000.0
馥,0,0,1,0,1,0,0,0,0,2,0,0,2,2,0.27
昂,0,0,2,1,0,1,0,0,0,0,0,0,4,0,1000.0
寰,0,2,0,0,1,1,0,0,0,0,0,0,4,0,1000.0
同,0,0,1,1,2,0,0,0,0,0,0,0,4,0,1000.0
勁,0,0,2,2,0,0,0,0,0,0,0,0,4,0,1000.0
瑀,0,2,1,0,0,0,0,0,0,1,0,0,3,1,0.8
嬌,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0.001
丰,0,0,0,2,0,0,0,0,0,1,1,0,2,2,0.27
翎,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0.001
陞,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1000.0
琨,0,1,2,1,0,0,0,0,0,0,0,0,4,0,1000.0
喜,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0.27
迪,0,0,2,2,0,0,0,0,0,0,0,0,4,0,1000.0
紋,0,0,0,1,0,0,0,0,0,3,0,0,1,3,0.09
軍,0,1,0,1,0,1,0,0,1,0,0,0,3,1,0.8
貽,0,0,2,1,0,0,0,1,0,0,0,0,3,1,0.8
炫,0,0,1,0,2,1,0,0,0,0,0,0,4,0,1000.0
玄,0,0,1,3,0,0,0,0,0,0,0,0,4,0,1000.0
泊,0,0,2,1,1,0,0,0,0,0,0,0,4,0,1000.0
廣,0,0,1,2,1,0,0,0,0,0,0,0,4,0,1000.0
茵,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0.001
棟,0,0,1,1,1,1,0,0,0,0,0,0,4,0,1000.0
凌,0,0,0,0,1,0,0,0,1,2,0,0,1,3,0.09
枝,0,0,2,0,1,0,0,0,0,0,1,0,3,1,0.8
卓,0,0,2,2,0,0,0,0,0,0,0,0,4,0,1000.0
水,0,0,0,1,1,2,0,0,0,0,0,0,4,0,1000.0
則,0,0,1,2,1,0,0,0,0,0,0,0,4,0,1000.0
科,0,0,0,2,2,0,0,0,0,0,0,0,4,0,1000.0
映,0,0,1,0,0,0,0,0,1,2,0,0,1,3,0.09
尹,0,0,1,2,0,0,0,0,0,1,0,0,3,1,0.8
崧,0,0,0,2,1,1,0,0,0,0,0,0,4,0,1000.0
蔚,0,0,2,1,0,0,0,0,0,0,0,1,3,1,0.8
賜,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1000.0
在,0,0,1,1,2,0,0,0,0,0,0,0,4,0,1000.0
佐,0,0,0,2,1,1,0,0,0,0,0,0,4,0,1000.0
材,0,1,1,0,2,0,0,0,0,0,0,0,4,0,1000.0
騏,0,1,1,1,1,0,0,0,0,0,0,0,4,0,1000.0
存,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1000.0
嫻,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0.001
祿,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1000.0
舒,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0.001
增,0,1,0,0,1,2,0,0,0,0,0,0,4,0,1000.0
震,0,0,2,2,0,0,0,0,0,0,0,0,4,0,1000.0
劭,0,0,3,1,0,0,0,0,0,0,0,0,4,0,1000.0
來,0,1,0,0,2,1,0,0,0,0,0,0,4,0,1000.0
貿,0,0,0,3,1,0,0,0,0,0,0,0,4,0,1000.0
稚,0,1,0,2,0,0,0,0,1,0,0,0,3,1,0.8
鶴,0,1,0,0,1,0,0,0,1,1,0,0,2,2,0.27
琬,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0.001
時,0,0,0,3,0,0,0,0,0,1,0,0,3,1,0.8
綾,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0.001
輔,0,0,1,2,1,0,0,0,0,0,0,0,4,0,1000.0
保,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1000.0
瀅,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.001
柱,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1000.0
倍,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1000.0
渝,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0.13
專,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1000.0
錡,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1000.0
台,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
紅,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0.13
晃,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
諾,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1000.0
岱,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0.13
瑢,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0.001
寅,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1000.0
樟,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
驊,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1000.0
篤,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0.53
杏,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.001
彩,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0.001
采,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0.001
亘,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1000.0
娜,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0.001
艾,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.001
高,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1000.0
微,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.001
皇,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1000.0
理,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1000.0
詔,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0.53
根,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
丹,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0.13
暄,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1000.0
乾,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
京,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1000.0
楨,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1000.0
楚,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0.53
鋐,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1000.0
魁,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1000.0
太,0,0,1,1,0,1,0,0,0,0,0,0,3,0,1000.0
言,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1000.0
錚,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
木,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1000.0
結,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1000.0
謹,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
沐,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0.53
銳,0,1,2,0,0,0,0,0,0,0,0,0,3,0,1000.0
合,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0.53
律,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0.53
暘,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1000.0
妍,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0.001
頴,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1000.0
招,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1000.0
樵,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1000.0
澂,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0.53
格,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
芩,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0.001
協,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
釧,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
榆,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0.53
滄,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
耘,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0.13
璽,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
初,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1000.0
頡,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1000.0
葶,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0.001
厚,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1000.0
薰,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0.13
喨,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
媛,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.001
丁,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
楓,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0.53
昊,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
熹,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1000.0
菲,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0.001
助,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
絢,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0.13
衛,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1000.0
江,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1000.0
賀,0,0,1,1,0,1,0,0,0,0,0,0,3,0,1000.0
燦,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1000.0
應,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1000.0
杉,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
燁,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1000.0
淞,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0.53
菘,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1000.0
譯,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1000.0
鍵,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1000.0
印,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0.53
敦,0,0,1,0,2,0,0,0,0,0,0,0,3,0,1000.0
穆,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1000.0
崑,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
忻,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.27
瑨,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.27
湖,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
愛,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
溱,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
黃,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
贊,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
諄,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0.27
孜,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.27
嶽,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
娥,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
農,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1000.0
倉,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1000.0
居,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
溢,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
阿,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
憶,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
妘,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
徵,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
雋,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
肅,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
淇,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1000.0
必,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
統,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
芮,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.27
曼,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
殷,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
向,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
標,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
蜀,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.27
相,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
擇,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
芹,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.001
喻,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.001
後,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
潮,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
模,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
咸,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
享,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.27
珈,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.27
淦,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
悅,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.001
猷,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
竑,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
濬,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
量,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
訓,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
强,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
濃,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.27
盟,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
積,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
桐,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
濂,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
朋,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
浦,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
夆,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
纓,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
雰,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
塵,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
濠,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
慕,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.27
陵,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.27
菀,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
栢,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
霈,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.27
戎,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
己,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
祈,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
耕,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
幀,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
徽,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.27
緁,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
嫺,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
足,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
妏,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.001
悟,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
聿,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.27
鉦,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
苓,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
議,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
庶,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1000.0
炯,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
舉,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
棻,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.27
張,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
顥,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
瀛,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
溥,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.27
涼,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.001
周,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
珠,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.001
庚,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
芯,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
端,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.27
銀,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.27
蒼,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
丕,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
